Gender,Gendet_text,Race,Race_text,Education,Reationshship Status,Relationship_text,Employment,Employment_text,Age,Religion,Household,Siblings,A1,E1,P1,N1,A2,H1,M1,R1,M2,E2,Lon,H2,P2,N2,A3,N3,E3,H3,R2,M3,R3,P3,hap,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,PANAS_6,PANAS_7,PANAS_8,PANAS_9,PANAS_10,PANAS_11,PANAS_12,PANAS_13,SWL_1,SWL_2,SWL_3,SWL_4,SWL_5,big5_1,big5_2,big5_3,big5_4,big5_5,big5_6,big5_7,big5_8,big5_9,big5_10,big5_11,big5_12,big5_13,big5_14,big5_15,Q44
Nonbinary/nonconforming,,"White  (e.g German, Irish, English, Italian, Polish, French),Hispanic, Latino, Spanish Origin  (e.g. Mexican Mexican American, Puerto Rican Cuba, Salvadoran, Dominican, Columbian)",,Bachelor's degree in college (4year),Single,,Unemployed,,25, Much,2,1,1,1,0,9,1,6,0,0,0,1,10,3,0,8,6,10,7,3,0,1,0,0,0,3,4,3,4,2,2,4,1,5,2,1,3,1,1,1,1,1,1,1,5,4,5,5,4,3,5,5,1,4,3,4,1,5,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Doctoral degree,Single,,Selfemployed,,48,Somewhat,1,1,5,8,6,4,5,5,7,5,7,7,2,3,6,3,6,6,7,5,6,6,5,7,6,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,4,2,4,5,3,2,5,4,3,4,4,1,2,4,4,5,5,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Master's degree,"Other, please specify",Married,Full time,,46,Somewhat,4,2,8,7,8,8,8,8,9,8,8,8,8,8,8,8,7,9,7,7,7,6,9,9,7,5,2,3,2,4,3,2,5,2,2,4,3,3,4,5,7,5,5,4,3,3,2,3,4,3,2,3,4,4,3,3,4,4,
Female,,"Black African American(e.g. Jamaican, Haitian, Nigerian, Ethiopian, Somalian)",,Some college but no degree,Single,,Part time,,35, Much,3,1,7,8,5,7,8,7,8,7,8,8,4,7,6,5,8,4,8,8,9,8,7,6,8,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,5,3,4,3,3,4,5,5,4,3,4,1,2,1,4,4,4,
Male,,"White  (e.g German, Irish, English, Italian, Polish, French)",,High school graduate (high school diploma equivalent including GED),Single,,Full time,,29, Much,3,3,6,7,5,8,7,4,6,6,8,6,7,4,4,6,6,7,8,4,5,5,6,6,5,3,4,3,4,2,2,4,3,4,4,3,3,2,1,3,3,4,2,3,4,5,5,3,1,2,4,5,4,2,1,4,1,1,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Associate degree in college (2year),Single,,Selfemployed,,58, Much,1,2,7,7,7,3,7,5,8,8,7,7,4,5,7,3,7,3,8,5,7,7,7,7,7,4,3,4,3,3,4,3,4,3,3,4,3,4,5,5,5,5,2,3,4,3,4,4,3,3,4,3,2,2,3,4,3,5,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Bachelor's degree in college (4year),Single,,Full time,,52, Much,1,1,1,5,5,4,6,0,4,8,3,7,9,0,4,2,9,8,4,0,3,2,5,5,6,3,3,3,3,2,3,3,3,3,2,3,2,3,1,4,4,3,1,4,5,2,2,5,4,2,3,4,2,2,3,4,3,5,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,In a relationship,,Unemployed,,31,,1,1,4,5,6,8,4,5,3,6,3,5,4,0,5,6,6,8,6,3,7,2,7,4,5,4,4,4,4,2,4,4,4,5,4,4,3,2,2,3,2,3,2,2,4,4,5,5,3,2,5,4,2,2,2,3,2,3,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Associate degree in college (2year),In a relationship,,Other,Stay at home mom,32,Somewhat,4,4,8,8,9,1,8,8,10,9,10,9,0,6,9,1,10,1,9,8,10,9,9,8,9,5,1,5,1,5,5,1,5,1,1,5,1,3,7,6,7,7,7,1,5,1,1,4,4,3,1,1,1,5,5,5,5,5,
Female,,"White  (e.g German, Irish, English, Italian, Polish, French)",,Some college but no degree,Single,,Unemployed,,23,,3,1,1,7,2,10,0,2,0,5,0,3,8,0,1,7,2,10,8,2,2,0,0,0,0,2,5,2,5,1,2,5,2,5,4,2,3,1,1,3,1,1,1,4,3,5,5,4,1,4,5,5,2,1,1,1,1,2,
